IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,REFERENCE: title,sample_weight
6,Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.2,,C,25.0,1251.0,2166.0,,7.0,75.0,,,,,10.1016/j.jallcom.2010.10.047,2011,Microstructure and compressive properties of multiprincipal component AlCoCrFeNiCx alloys,0.9152814537242683
6,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1138.0,,,11.0,,184.0,,,,10.1016/j.jallcom.2010.10.047,2011,Microstructure and compressive properties of multiprincipal component AlCoCrFeNiCx alloys,0.953183757686527
7,Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,CAST,other,,,7.0,,C,25.0,2670.0,3161.0,,3.0,,,,,,10.1016/j.msea.2010.07.028,2010,Microstructures and compressive properties of multicomponent AlCoCrFeNiMox alloys,0.9245713702521471
7,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1051.0,,,,,184.0,,,,10.1016/j.msea.2010.07.028,2010,Microstructures and compressive properties of multicomponent AlCoCrFeNiMox alloys,0.8753232118303265
8,Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,CAST,other,,,6.8,668.0,C,25.0,1959.0,3008.0,,11.0,,,,,,10.1016/j.msea.2011.10.110,2012,Effect of Nb addition on the microstructure and properties of AlCoCrFeNi high-entropy alloy,0.8628831693756378
9,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,other,200.0,,7.3,586.0,,25.0,,,,,,,,,,10.1002/adem.200900171,2010,Microstructure and Mechanical Properties of New AlCoxCrFeMo0.5Ni High-Entropy Alloys,0.8282101818056825
10,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,755.0,,25.0,,,,,,,,,,10.1016/j.wear.2009.10.013,2010,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys,0.9174094774888859
10,Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,CAST,other,,,7.1,754.0,,25.0,,,,,,,,,,10.1016/j.wear.2009.10.013,2010,Effect of iron content on wear behavior of AlCoCrFexMo0.5Ni high-entropy alloys,0.9035062358496178
11,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,730.0,,25.0,,,,,,,,,,10.1016/j.intermet.2012.09.008,2013,On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys,0.9203923822968295
11,Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,CAST,other,,,7.2,586.0,,25.0,,,,,,,,,,10.1016/j.intermet.2012.09.008,2013,On microstructure and mechanical performance of AlCoCrFeMo0.5Nix high-entropy alloys,0.9002716973337302
12,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1110.0,,,,,184.0,,,,10.1016/j.msea.2010.07.049,2010,Synthesis and properties of multiprincipal component AlCoCrFeNiSix alloys,0.8976950078588162
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,BCC,,,6.2,,C,25.0,1481.0,2444.0,,13.0,,169.0,,,,10.1016/j.msea.2010.07.049,2010,Synthesis and properties of multiprincipal component AlCoCrFeNiSix alloys,0.83753613325751
12,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,other,,,5.8,,C,25.0,2179.0,2664.0,,2.0,,,,,,10.1016/j.msea.2010.07.049,2010,Synthesis and properties of multiprincipal component AlCoCrFeNiSix alloys,0.9653061753420416
13,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.4,,,25.0,,,,,,192.0,,,,10.1016/j.jallcom.2008.11.059,2009,Atomic packing efficiency and phase transition in a high entropy alloy,0.9789579957572436
13,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25.0,700.0,1650.0,,29.0,93.0,194.0,,,,10.1016/j.jallcom.2008.11.059,2009,Atomic packing efficiency and phase transition in a high entropy alloy,1.0
14,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,other,,,6.2,,C,25.0,1860.0,2580.0,10.7,9.0,90.0,,,,,10.1063/1.2734517,2007,Solid solution alloys of AlCoCrFeNiTix with excellent room-temperature mechanical properties,0.8587737446307974
15,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790.0,,25.0,,,,,,129.0,,,,10.1002/adem.200300567,2004,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes,0.8401671780588412
15,Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,680.0,,25.0,,,,,,,,,,10.1002/adem.200300567,2004,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes,0.8280776939452802
15,Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,630.0,,25.0,,,,,,,,,,10.1002/adem.200300567,2004,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes,0.91078018969016
15,Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,CAST,other,,,7.1,740.0,,25.0,,,,,,,,,,10.1002/adem.200300567,2004,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes,0.988725576487438
16,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.9,180.0,,25.0,,,,,,216.0,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.9310156011875564
16,Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.1,530.0,,25.0,,,,,,,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.8501777864201683
16,Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.0,539.0,,25.0,,,,,,,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.9368959282942897
16,Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.0,533.0,,25.0,,,,,,,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.9433165160990559
16,Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,6.9,535.0,,25.0,,,,,,,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.9437647697810513
16,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,BCC,,,6.6,539.0,,25.0,,,,,,180.0,,,,10.1016/j.actamat.2013.09.037,2014,Effects of Al addition on structural evolution and tensile properties of the FeCoNiCrMn high-entropy alloy system,0.9962773271389769
